name,gender
akhilesh,m
banshi,m
dharamveer,m
manorma,f
padam,m
jashgul,f
suhel,m
saurabh,m
asagar,m
shyam,m
sadiya,f
darshan,m
vinder,f
radhab,f
rukshana,f
raziya,f
trepti,f
beti,f
anmol,m
keshanti,f
kanisk,m
kirashan,m
rubina,f
pramatma,m
shekhar,m
tikku,m
ashwini,m
firoj,m
daveena,f
sitender,m
dolat,f
avi,f
man,m
laxmanram,m
urwashi,f
sawana,f
munni,f
tulsi,m
gajender,m
dropti,f
rajish,m
kulvinder,f
bina,f
manpritkour,f
jully,f
sabila,f
abhinav,m
mona,f
aamin,m
rajna,f
ranveer,m
sashi,f
bunty,m
buity,f
amol,m
dariya,f
nazreen,f
sujan,m
duni,m
dimpal,f
rahil,m
nagma,f
chandpreet,m
lakhwinder,m
mamchand,m
sarika,f
bobi,m
shahjadi,f
rajpal,m
chetna,f
aijay,m
razni,f
giri,m
ganesh,m
amrin,f
narender,m
gorav,m
kasid,m
sanita,f
aariv,m
vedprakash,m
shamrin,f
hemraj,m
partap,m
shilpi,f
ashu,m
gaura,f
sadhna,f
ekta,f
parmood,m
sakeena,f
rishi,m
tasleem,f
joholal,m
anish,m
aaliya,f
rajeshwari,f
farhan,m
bijander,m
rajat,m
gulreg,m
yameen,m
rukhsar,f
ragini,f
ramotar,m
chirag,m
irfan,f
tina,f
yasmeen,f
raghubir,m
jeeya,m
nasima,f
jaffar,m
ramji,m
imtiaz,m
kunwar,m
nadem,m
lakhmi,m
prachi,f
anchal,m
nathu,m
safiya,f
aftab,m
ameen,m
inda,f
robin,m
naeem,m
mansharam,m
tohmeena,f
moharan,m
parvti,f
wasimuddin,m
nayana,f
anusoya,f
phool,f
riyasat,m
himani,f
farida,f
chanderpati,f
chhanya,f
amrita,f
shobha,f
ahsan,m
bharati,f
radhika,f
udi,f
sima,f
panchi,f
sheela,f
baita,f
mustafa,m
krishna,m
nusrant,f
sundri,f
sheensar,f
sikha,f
jayanti,f
asiwani,m
kumar,m
zeba,f
konika,f
saniya,f
zaheer,m
rijakpal,m
meva,f
prabhat,m
madina,f
devanand,m
sunaina,f
inderpaal,m
jeenat,f
mrityunjay,m
mohar,m
karuna,f
parsi,f
purnima,f
tej,m
minitwa,f
hari,m
nitika,f
badri,m
sharmila,f
tausin,m
anjli,f
gahnshyam,m
darfasha,f
janki,f
leela,f
biru,m
munshi,m
sameeruddin,m
preetam,m
sagar,m
jasoda,f
karishan,m
jubeda,f
santna,f
mariyam,f
samim,m
maigo,f
anguri,f
taravaati,f
anjal,f
hema,f
tek,m
devi,m
shama,f
bilal,m
tool,m
dali,f
parvati,f
surat,m
dharampal,m
prahlad,m
beeti,f
anirudh,m
baikunthi,f
reetu,f
lovely,f
palak,f
sorav,m
mooli,f
sahida,f
ramwati,f
ratni,f
susila,f
bisto,m
tara,m
sadik,m
niru,f
varun,m
rina,f
ghantoli,m
tranoom,f
bhudhashen,m
parwati,f
rishabh,m
munia,f
kasim,m
santro,f
mustkeen,m
mumtaj,m
mohsin,m
yogeshwari,f
bhikhari,m
umesh,m
badrunisha,f
aashif,m
miraj,m
nitesh,m
jyoti,m
khemchand,m
kranti,f
dhurpati,m
bhupendra,m
azad,m
nazia,f
shankar,m
sahbuddin,m
shanu,f
nasim,m
sudhata,f
nijamuddin,m
aash,m
gattu,f
anjna,f
surender,m
sukrita,f
ravish,m
krashana,f
minder,m
sufiya,f
deu,f
furkhan,m
shree,m
bipin,m
sujal,m
jaya,f
dalip,m
khusbhoo,f
shahid,m
harana,f
shima,f
naseema,f
ronak,m
durgawati,f
muzamiil,m
archna,f
tapish,m
charnjeet,m
manbhar,f
gulfara,f
raees,m
adil,m
rahat,f
sahid,m
jon,m
pushpender,m
waseem,m
maushid,m
yaadram,m
navin,m
begum,f
lalaram,m
asfak,m
akash,m
amir,m
rambai,f
dhapu,f
mukiman,f
mala,f
bhuneshwar,m
pinkey,f
sameena,f
aafrin,f
baban,m
naim,m
sitaram,m
parvesh,m
dya,m
ithilesh,m
vijeta,f
jagbir,m
abhishekh,m
hukma,m
jaismeen,f
laxmi,m
deeksha,f
chinki,f
gulnanj,f
niti,f
chunnu,m
saziya,f
shlender,m
visvajeet,m
mandeep,m
nishant,m
kapiil,m
sudha,f
nikhil,m
kamlesh,f
manjit,m
bobby,m
jedu,m
chango,f
rubbi,f
milkhi,m
lal,m
tumpa,f
shgita,f
tarjan,m
keshav,m
saraswati,f
shadan,m
mannulal,m
arshad,m
saksi,f
samadhan,m
sakshi,f
unknown,m
sankarlal,m
raju,f
depander,m
pancu,m
hanuman,m
warnakulasuriya,m
deep,f
arati,f
horam,m
rimpy,f
shkuntala,f
rajneesh,m
aparna,f
sukhbir,m
kundan,m
tek,f
anjara,f
ravinder,f
sikandar,m
sethi,m
robi,f
aajam,m
jawhar,m
dharambir,m
liveri,m
veena,f
ganpat,m
sivani,f
jamee,f
chiranjavi,m
sana,f
shiva,f
sharmili,f
rukshar,f
simmi,f
rimzim,f
shaifali,f
nazma,f
radhamohan,m
gayatri,f
rozi,f
dhanni,f
gurpreet,f
meeta,f
jasina,f
hashrat,m
aatikun,f
gauri,m
sabnam,f
suhsmita,f
sheh,m
gulpacha,f
sarik,m
vijesh,m
nazrin,f
chandani,f
shalini,f
sahiba,f
vimala,f
devika,f
busness,m
shbana,f
mazhar,m
sajiya,f
chahat,f
firakat,m
bhim,m
prinkaya,f
khushi,m
manesh,m
konti,f
ghansyam,m
brijmohan,m
pawni,f
jyotsana,f
ladi,f
mehar,f
noorjahan,f
faiz,m
dharmveer,m
benay,m
gokul,m
mannu,m
forshan,m
vikki,m
kashis,f
sanaali,f
pallavi,f
anandu,m
malti,f
anamol,m
maina,f
minakxi,f
rajiv,m
dara,m
banwari,m
rencho,f
subodh,m
jalil,m
rithik,m
yashbir,m
pramil,f
shoiba,f
ashutosh,m
juli,f
rocky,m
roshini,f
divyansh,m
partima,f
bindu,f
tanjima,f
gurvinder,f
piryanka,f
akaash,m
jeete,m
devkali,f
sabna,f
tushal,m
aasif,m
kumari,m
deepvhand,m
neeta,f
jaimala,f
chandrram,m
mukhtaar,m
parven,f
kamini,f
shahin,f
misri,m
sajjan,m
rehman,m
shabina,f
muhmad,m
ajmal,f
nankesh,m
gulab,m
sameem,m
sintu,f
ujama,f
anisha,f
raghav,m
nanak,m
shahrish,f
ratan,m
sanni,m
phoolwati,f
harikishan,m
rajeet,m
kanki,f
kunda,m
suja,m
pravesh,m
chandracala,f
sahab,m
nek,m
kanti,f
peena,f
kiran,m
badami,f
khurshida,f
rakki,f
shadab,m
sheish,m
gutam,m
ashwani,f
sahna,f
rajkiran,m
sheak,m
lakshmi,f
radhey,m
dayawati,f
rahis,m
bodh,m
gurbachan,m
shimla,f
roji,f
maan,m
vikrant,m
mangat,m
sandeep,f
trilochan,m
deep,m
gya,m
lakh,m
ranjana,f
rakshit,m
shiv,f
kanku,f
lalmuni,f
badshya,m
susma,f
pavan,m
gurlal,m
sahbaj,m
sabbu,m
pawna,m
lilaki,f
subesh,m
ayasha,f
kishna,f
adityalok,m
injmam,m
usha,f
alk,m
anus,m
kirti,m
mahender,f
kamala,f
mustaq,m
sneha,f
tanushri,f
shekh,m
abhaysingh,m
riju,f
ravindar,m
khushnuma,f
jeetu,m
panchuram,m
nency,f
aanad,m
ruchi,f
kouchu,m
bijender,m
tapan,m
gendu,f
abishek,m
chappla,f
kaari,m
vinod,f
mamuni,f
jitendra,m
jaipal,m
garima,f
nirja,f
pratibha,f
ranni,f
barjraj,m
kaptan,m
saira,f
divaie,m
pandu,m
jimi,m
ranjan,m
penzin,m
bal,m
janardhan,m
smshida,f
abida,f
somanti,f
chetan,m
aardhna,f
srishty,f
bhuri,m
narender,f
premwati,f
chander,f
anjana,f
abul,m
jagmal,m
javed,m
koslya,f
rajnish,m
khubchand,m
makrud,m
sabeer,m
ranbir,m
himashu,m
prableen,f
chandra,f
kishore,m
santlal,m
deepti,f
inderjit,m
salmaan,m
nazahat,f
lakhvinder,f
aanand,m
ayush,m
kamar,f
sriniwash,m
sundar,m
gulfasa,f
dinkar,m
uganti,f
jaspreet,m
ratul,m
shkundla,f
kamta,f
lakki,m
aasmin,f
revndrshing,m
omwati,f
axat,m
parkash,m
chitra,f
chunni,m
babuddin,m
bagdai,f
shami,m
rajiq,m
amrik,m
almas,m
muneer,m
farvej,m
vivekanand,m
dhrmveer,m
dharm,m
sobha,f
rupa,m
joydeep,m
mahadev,m
ramrati,f
gordhan,m
manjeet,m
jhunnu,f
seva,f
ritunjay,m
paratibha,m
govinda,m
champa,f
teena,f
bhagirath,m
makan,m
dilbag,m
hasbul,f
komal,m
pram,m
tabwsum,f
vaishanvi,f
sobit,m
bhudhi,m
bhudev,m
akram,m
akhilesh,f
sukka,m
devi,f
rashid,m
chndrakla,f
avastha,f
reeti,f
lakhamichand,m
anup,m
sharib,m
aanu,f
manudeen,m
sujit,m
anoop,m
saroj,m
ranjit,m
dipika,f
